2.08,	-0.278693,	1.61538,	-0.804663,	0.269452,	
2.09,	-0.286737,	1.61806,	-0.804024,	0.265795,	
2.1,	-0.294773,	1.6207,	-0.803371,	0.262159,	
2.11,	-0.302804,	1.6233,	-0.802705,	0.258543,	
2.12,	-0.310827,	1.62587,	-0.802026,	0.254948,	
2.13,	-0.318844,	1.6284,	-0.801335,	0.251374,	
2.14,	-0.326854,	1.6309,	-0.800631,	0.247819,	
2.15,	-0.334857,	1.63336,	-0.799914,	0.244285,	
2.16,	-0.342852,	1.63578,	-0.799186,	0.240771,	
2.17,	-0.35084,	1.63817,	-0.798446,	0.237277,	
2.18,	-0.358821,	1.64053,	-0.797694,	0.233803,	
2.19,	-0.366794,	1.64285,	-0.79693,	0.230349,	
2.2,	-0.37476,	1.64513,	-0.796156,	0.226914,	
2.21,	-0.382717,	1.64739,	-0.79537,	0.223499,	
2.22,	-0.390667,	1.6496,	-0.794574,	0.220103,	
2.23,	-0.398608,	1.65179,	-0.793767,	0.216727,	
2.24,	-0.406542,	1.65394,	-0.792949,	0.213369,	
2.25,	-0.414467,	1.65605,	-0.792121,	0.210031,	
2.26,	-0.422384,	1.65814,	-0.791283,	0.206712,	
2.27,	-0.430293,	1.66019,	-0.790435,	0.203411,	
2.28,	-0.438193,	1.66221,	-0.789577,	0.20013,	
2.29,	-0.446084,	1.66419,	-0.78871,	0.196866,	
2.3,	-0.453967,	1.66614,	-0.787833,	0.193622,	
2.31,	-0.461841,	1.66806,	-0.786947,	0.190395,	
2.32,	-0.469706,	1.66995,	-0.786052,	0.187187,	
2.33,	-0.477562,	1.67181,	-0.785148,	0.183998,	
2.34,	-0.485409,	1.67363,	-0.784235,	0.180826,	
2.35,	-0.493246,	1.67542,	-0.783313,	0.177672,	
2.36,	-0.501075,	1.67718,	-0.782383,	0.174536,	
2.37,	-0.508894,	1.67891,	-0.781445,	0.171417,	
2.38,	-0.516704,	1.68061,	-0.780498,	0.168317,	
2.39,	-0.524504,	1.68228,	-0.779544,	0.165233,	
2.4,	-0.532294,	1.68392,	-0.778581,	0.162168,	
2.41,	-0.540075,	1.68552,	-0.777611,	0.159119,	
2.42,	-0.547846,	1.6871,	-0.776633,	0.156087,	
2.43,	-0.555608,	1.68864,	-0.775648,	0.153073,	
2.44,	-0.563359,	1.69016,	-0.774655,	0.150076,	
2.45,	-0.571101,	1.69165,	-0.773656,	0.147095,	
2.46,	-0.578832,	1.6931,	-0.772649,	0.144131,	
2.47,	-0.586554,	1.69453,	-0.771635,	0.141184,	
2.48,	-0.594265,	1.69592,	-0.770614,	0.138253,	
2.49,	-0.601966,	1.69729,	-0.769587,	0.135339,	
2.5,	-0.609656,	1.69863,	-0.768553,	0.132441,	
2.51,	-0.617337,	1.69994,	-0.767513,	0.129559,	
2.52,	-0.625007,	1.70122,	-0.766466,	0.126693,	
2.53,	-0.632666,	1.70247,	-0.765413,	0.123844,	
2.54,	-0.640315,	1.7037,	-0.764354,	0.12101,	
2.55,	-0.647953,	1.70489,	-0.763289,	0.118192,	
2.56,	-0.65558,	1.70606,	-0.762218,	0.11539,	
2.57,	-0.663197,	1.7072,	-0.761142,	0.112603,	
2.58,	-0.670803,	1.70831,	-0.760059,	0.109832,	
2.59,	-0.678398,	1.7094,	-0.758971,	0.107076,	
2.6,	-0.685982,	1.71046,	-0.757878,	0.104335,	
2.61,	-0.693556,	1.71149,	-0.75678,	0.10161,	
2.62,	-0.701118,	1.71249,	-0.755676,	0.0988997,	
2.63,	-0.708669,	1.71346,	-0.754567,	0.0962045,	
2.64,	-0.716209,	1.71441,	-0.753453,	0.0935241,	
2.65,	-0.723738,	1.71533,	-0.752333,	0.0908585,	
