2.14,	-0.32671,	1.63114,	-0.800614,	0.247992,	
2.15,	-0.334713,	1.63361,	-0.799899,	0.244458,	
2.16,	-0.342708,	1.63603,	-0.799171,	0.240945,	
2.17,	-0.350696,	1.63843,	-0.798431,	0.237452,	
2.18,	-0.358677,	1.64078,	-0.79768,	0.233979,	
2.19,	-0.36665,	1.64311,	-0.796917,	0.230525,	
2.2,	-0.374615,	1.64539,	-0.796143,	0.227091,	
2.21,	-0.382573,	1.64765,	-0.795358,	0.223677,	
2.22,	-0.390522,	1.64987,	-0.794562,	0.220282,	
2.23,	-0.398464,	1.65205,	-0.793756,	0.216906,	
2.24,	-0.406397,	1.65421,	-0.792939,	0.21355,	
2.25,	-0.414323,	1.65632,	-0.792112,	0.210212,	
2.26,	-0.42224,	1.65841,	-0.791274,	0.206894,	
2.27,	-0.430148,	1.66046,	-0.790427,	0.203594,	
2.28,	-0.438048,	1.66248,	-0.78957,	0.200313,	
2.29,	-0.44594,	1.66447,	-0.788703,	0.197051,	
2.3,	-0.453822,	1.66642,	-0.787827,	0.193807,	
2.31,	-0.461696,	1.66835,	-0.786941,	0.190581,	
2.32,	-0.469561,	1.67024,	-0.786047,	0.187374,	
2.33,	-0.477417,	1.67209,	-0.785143,	0.184185,	
2.34,	-0.485264,	1.67392,	-0.784231,	0.181014,	
2.35,	-0.493102,	1.67571,	-0.78331,	0.177861,	
2.36,	-0.50093,	1.67748,	-0.782381,	0.174725,	
2.37,	-0.50875,	1.67921,	-0.781443,	0.171608,	
2.38,	-0.516559,	1.68091,	-0.780497,	0.168508,	
2.39,	-0.52436,	1.68258,	-0.779543,	0.165425,	
2.4,	-0.53215,	1.68422,	-0.778581,	0.16236,	
2.41,	-0.539931,	1.68583,	-0.777612,	0.159312,	
2.42,	-0.547703,	1.68741,	-0.776635,	0.156281,	
2.43,	-0.555464,	1.68895,	-0.77565,	0.153268,	
2.44,	-0.563216,	1.69047,	-0.774658,	0.150271,	
2.45,	-0.570957,	1.69196,	-0.773659,	0.147291,	
2.46,	-0.578689,	1.69342,	-0.772653,	0.144328,	
2.47,	-0.58641,	1.69485,	-0.77164,	0.141381,	
2.48,	-0.594122,	1.69625,	-0.77062,	0.138451,	
2.49,	-0.601823,	1.69762,	-0.769593,	0.135538,	
2.5,	-0.609514,	1.69896,	-0.76856,	0.13264,	
2.51,	-0.617194,	1.70027,	-0.76752,	0.129759,	
2.52,	-0.624864,	1.70155,	-0.766474,	0.126894,	
2.53,	-0.632524,	1.70281,	-0.765422,	0.124045,	
2.54,	-0.640173,	1.70403,	-0.764364,	0.121212,	
2.55,	-0.647811,	1.70523,	-0.763299,	0.118395,	
2.56,	-0.655439,	1.7064,	-0.762229,	0.115593,	
2.57,	-0.663056,	1.70754,	-0.761153,	0.112807,	
2.58,	-0.670662,	1.70866,	-0.760072,	0.110036,	
2.59,	-0.678257,	1.70974,	-0.758985,	0.107281,	
2.6,	-0.685842,	1.7108,	-0.757892,	0.104541,	
2.61,	-0.693415,	1.71184,	-0.756794,	0.101817,	
2.62,	-0.700978,	1.71284,	-0.755691,	0.0991071,	
2.63,	-0.708529,	1.71382,	-0.754583,	0.0964124,	
2.64,	-0.716069,	1.71477,	-0.753469,	0.0937327,	
2.65,	-0.723599,	1.71569,	-0.752351,	0.0910678,	
2.66,	-0.731117,	1.71659,	-0.751228,	0.0884176,	
2.67,	-0.738623,	1.71746,	-0.7501,	0.0857819,	
2.68,	-0.746119,	1.71831,	-0.748967,	0.0831608,	
2.69,	-0.753603,	1.71913,	-0.74783,	0.0805541,	
2.7,	-0.761075,	1.71992,	-0.746688,	0.0779618,	
2.71,	-0.768537,	1.72069,	-0.745542,	0.0753836,	
2.72,	-0.775986,	1.72143,	-0.744392,	0.0728196,	
2.73,	-0.783425,	1.72214,	-0.743237,	0.0702696,	
2.74,	-0.790851,	1.72283,	-0.742078,	0.0677336,	
2.75,	-0.798266,	1.7235,	-0.740915,	0.0652115,	
2.76,	-0.80567,	1.72414,	-0.739748,	0.0627031,	
2.77,	-0.813061,	1.72475,	-0.738577,	0.0602084,	
2.78,	-0.820441,	1.72534,	-0.737403,	0.0577273,	
2.79,	-0.827809,	1.72591,	-0.736224,	0.0552596,	
2.8,	-0.835166,	1.72645,	-0.735042,	0.0528054,	
2.81,	-0.84251,	1.72696,	-0.733856,	0.0503646,	
2.82,	-0.849843,	1.72745,	-0.732667,	0.0479369,	
2.83,	-0.857164,	1.72792,	-0.731474,	0.0455225,	
2.84,	-0.864473,	1.72836,	-0.730278,	0.0431211,	
2.85,	-0.871769,	1.72878,	-0.729079,	0.0407326,	
2.86,	-0.879054,	1.72918,	-0.727876,	0.0383571,	
2.87,	-0.886327,	1.72955,	-0.72667,	0.0359944,	
2.88,	-0.893588,	1.7299,	-0.725461,	0.0336444,	
2.89,	-0.900836,	1.73022,	-0.724249,	0.031307,	
2.9,	-0.908073,	1.73053,	-0.723034,	0.0289823,	
2.91,	-0.915297,	1.7308,	-0.721816,	0.02667,	
2.92,	-0.922509,	1.73106,	-0.720595,	0.0243701,	
2.93,	-0.929709,	1.73129,	-0.719371,	0.0220825,	
2.94,	-0.936897,	1.7315,	-0.718145,	0.0198072,	
2.95,	-0.944072,	1.73169,	-0.716916,	0.017544,	
2.96,	-0.951235,	1.73185,	-0.715684,	0.0152929,	
2.97,	-0.958386,	1.73199,	-0.71445,	0.0130538,	
2.98,	-0.965524,	1.73211,	-0.713213,	0.0108267,	
2.99,	-0.97265,	1.73221,	-0.711973,	0.00861137,	
3,	-0.979764,	1.73229,	-0.710732,	0.00640783,	
3.01,	-0.986865,	1.73234,	-0.709487,	0.00421598,	
3.02,	-0.993954,	1.73237,	-0.708241,	0.00203576,	
3.03,	-1.00103,	1.73238,	-0.706992,	-0.000132923,	
3.04,	-1.00809,	1.73237,	-0.705742,	-0.00229013,	
3.05,	-1.01515,	1.73234,	-0.704489,	-0.00443595,	
3.06,	-1.02218,	1.73228,	-0.703233,	-0.00657044,	
3.07,	-1.02921,	1.7322,	-0.701976,	-0.00869369,	
3.08,	-1.03622,	1.73211,	-0.700717,	-0.0108058,	
3.09,	-1.04322,	1.73199,	-0.699456,	-0.0129067,	
3.1,	-1.05021,	1.73185,	-0.698193,	-0.0149966,	
3.11,	-1.05719,	1.73169,	-0.696928,	-0.0170756,	
3.12,	-1.06415,	1.73151,	-0.695661,	-0.0191437,	
3.13,	-1.0711,	1.73131,	-0.694393,	-0.0212009,	
3.14,	-1.07804,	1.73108,	-0.693123,	-0.0232474,	
3.15,	-1.08496,	1.73084,	-0.691851,	-0.0252833,	
3.16,	-1.09188,	1.73058,	-0.690577,	-0.0273085,	
3.17,	-1.09878,	1.7303,	-0.689302,	-0.0293231,	
3.18,	-1.10566,	1.72999,	-0.688025,	-0.0313273,	
3.19,	-1.11254,	1.72967,	-0.686747,	-0.033321,	
3.2,	-1.1194,	1.72933,	-0.685467,	-0.0353045,	
3.21,	-1.12625,	1.72896,	-0.684186,	-0.0372776,	
3.22,	-1.13308,	1.72858,	-0.682903,	-0.0392405,	
3.23,	-1.1399,	1.72818,	-0.681619,	-0.0411933,	
3.24,	-1.14671,	1.72776,	-0.680334,	-0.0431359,	
3.25,	-1.15351,	1.72732,	-0.679047,	-0.0450686,	
3.26,	-1.1603,	1.72686,	-0.677759,	-0.0469913,	
3.27,	-1.16707,	1.72638,	-0.67647,	-0.0489041,	
3.28,	-1.17382,	1.72588,	-0.67518,	-0.050807,	
3.29,	-1.18057,	1.72536,	-0.673888,	-0.0527002,	
3.3,	-1.1873,	1.72482,	-0.672596,	-0.0545837,	
3.31,	-1.19402,	1.72427,	-0.671302,	-0.0564576,	
3.32,	-1.20073,	1.7237,	-0.670007,	-0.0583218,	
3.33,	-1.20742,	1.7231,	-0.668712,	-0.0601765,	
3.34,	-1.2141,	1.72249,	-0.667415,	-0.0620218,	
3.35,	-1.22077,	1.72186,	-0.666117,	-0.0638576,	
3.36,	-1.22743,	1.72122,	-0.664818,	-0.0656841,	
3.37,	-1.23407,	1.72055,	-0.663519,	-0.0675013,	
3.38,	-1.2407,	1.71987,	-0.662218,	-0.0693092,	
3.39,	-1.24731,	1.71916,	-0.660917,	-0.071108,	
3.4,	-1.25391,	1.71844,	-0.659615,	-0.0728977,	
3.41,	-1.2605,	1.71771,	-0.658312,	-0.0746783,	
3.42,	-1.26708,	1.71695,	-0.657008,	-0.0764499,	
3.43,	-1.27364,	1.71618,	-0.655704,	-0.0782125,	
3.44,	-1.2802,	1.71539,	-0.654399,	-0.0799663,	
3.45,	-1.28673,	1.71458,	-0.653093,	-0.0817112,	
3.46,	-1.29326,	1.71375,	-0.651786,	-0.0834473,	
3.47,	-1.29977,	1.71291,	-0.650479,	-0.0851747,	
3.48,	-1.30627,	1.71205,	-0.649172,	-0.0868934,	
3.49,	-1.31275,	1.71117,	-0.647863,	-0.0886035,	
3.5,	-1.31922,	1.71028,	-0.646554,	-0.090305,	
3.51,	-1.32568,	1.70937,	-0.645245,	-0.091998,	
3.52,	-1.33213,	1.70844,	-0.643935,	-0.0936825,	
3.53,	-1.33856,	1.70749,	-0.642625,	-0.0953586,	
3.54,	-1.34498,	1.70653,	-0.641314,	-0.0970264,	
3.55,	-1.35139,	1.70555,	-0.640003,	-0.0986858,	
3.56,	-1.35778,	1.70456,	-0.638691,	-0.100337,	
3.57,	-1.36416,	1.70355,	-0.637379,	-0.10198,	
3.58,	-1.37053,	1.70252,	-0.636066,	-0.103615,	
3.59,	-1.37688,	1.70147,	-0.634753,	-0.105241,	
3.6,	-1.38322,	1.70041,	-0.63344,	-0.10686,	
3.61,	-1.38955,	1.69934,	-0.632127,	-0.108471,	
3.62,	-1.39587,	1.69824,	-0.630813,	-0.110073,	
3.63,	-1.40217,	1.69713,	-0.629499,	-0.111668,	
3.64,	-1.40846,	1.69601,	-0.628184,	-0.113255,	
3.65,	-1.41473,	1.69487,	-0.62687,	-0.114834,	
3.66,	-1.421,	1.69371,	-0.625555,	-0.116405,	
3.67,	-1.42724,	1.69254,	-0.62424,	-0.117968,	
3.68,	-1.43348,	1.69135,	-0.622924,	-0.119524,	
3.69,	-1.4397,	1.69015,	-0.621609,	-0.121072,	
3.7,	-1.44591,	1.68893,	-0.620293,	-0.122613,	
3.71,	-1.45211,	1.6877,	-0.618978,	-0.124146,	
3.72,	-1.45829,	1.68645,	-0.617662,	-0.125672,	
3.73,	-1.46446,	1.68519,	-0.616346,	-0.12719,	
3.74,	-1.47062,	1.68391,	-0.61503,	-0.1287,	
3.75,	-1.47676,	1.68261,	-0.613714,	-0.130204,	
3.76,	-1.48289,	1.6813,	-0.612398,	-0.1317,	
3.77,	-1.48901,	1.67998,	-0.611082,	-0.133188,	
3.78,	-1.49512,	1.67864,	-0.609765,	-0.13467,	
3.79,	-1.50121,	1.67729,	-0.608449,	-0.136144,	
3.8,	-1.50728,	1.67592,	-0.607133,	-0.137611,	
